일시,일 미세먼지 농도(㎍/㎥)
2018-07-12,20.458333333333332
2018-07-13,17.625
2018-07-14,19.642857142857142
2018-07-15,20.607142857142858
2018-07-16,26.115384615384617
2018-07-17,30.44
2018-07-18,31.56
2018-07-19,31.166666666666668
2018-07-20,32.642857142857146
2018-07-21,32.74074074074074
2018-07-22,26.4
2018-07-23,22.52
2018-07-24,25.72
2018-07-25,24.48
2018-07-26,28.48
2018-07-27,30.62962962962963
2018-07-28,27.5
2018-07-29,18.96
2018-07-30,14.047619047619047
2018-07-31,16.434782608695652
2018-08-01,21.8
2018-08-02,23.192307692307693
2018-08-03,24.5
2018-08-04,24.0
2018-08-05,20.0
2018-08-06,21.318181818181817
2018-08-07,17.1
2018-08-08,19.0
2018-08-09,19.0
2018-08-10,17.77777777777778
2018-08-11,14.904761904761905
2018-08-12,19.0
