,일시,일 미세먼지 농도(㎍/㎥)
428,2019-03-05,123.44
429,2019-03-06,94.33333333
430,2019-03-07,49.89655172
431,2019-03-08,36.10714286
432,2019-03-09,33.22222222
433,2019-03-10,30.31034483
434,2019-03-11,37.79310345
435,2019-03-12,50.93103448
436,2019-03-13,31.48275862
437,2019-03-14,31.57142857
438,2019-03-15,31.81481481
439,2019-03-16,27.77777778
440,2019-03-17,28.10714286
441,2019-03-18,28.66666667
442,2019-03-19,40.71428571
443,2019-03-20,55.03846154
444,2019-03-21,25.21428571
445,2019-03-22,35.10344828
446,2019-03-23,22.32142857
447,2019-03-24,23.24137931
448,2019-03-25,37.44827586
449,2019-03-26,44.37931034
450,2019-03-27,53.13793103
451,2019-03-28,44.89285714
452,2019-03-29,32.89655172
453,2019-03-30,27.06896552
454,2019-03-31,30.42857143
455,2019-04-01,22.51724138
456,2019-04-02,24.37931034
457,2019-04-03,28.51724138
458,2019-04-04,32.82758621
459,2019-04-05,74.28571429
460,2019-04-06,57.21428571
461,2019-04-07,43.42307692
462,2019-04-08,34
463,2019-04-09,22.33333333
464,2019-04-10,11.55555556
465,2019-04-11,19.88888889
466,2019-04-12,30.78571429
467,2019-04-13,32.48275862
468,2019-04-14,29.89655172
469,2019-04-15,46.32142857
470,2019-04-16,37.71428571
471,2019-04-17,34.15384615
472,2019-04-18,28
473,2019-04-19,32.32142857
474,2019-04-20,33.24137931
475,2019-04-21,31.17241379
476,2019-04-22,48.72413793
477,2019-04-23,40.03571429
478,2019-04-24,26.2962963
479,2019-04-25,39.37037037
480,2019-04-26,14.14285714
481,2019-04-27,15.25
482,2019-04-28,18.42307692
483,2019-04-29,17.96
484,2019-04-30,22.39285714
485,2019-05-01,48.92592593
486,2019-05-02,56.62068966
487,2019-05-03,44.82758621
488,2019-05-04,55.07142857
489,2019-05-05,48.92857143
490,2019-05-06,35.53571429
491,2019-05-07,35.55555556
492,2019-05-08,37.60714286
493,2019-05-09,37.25
494,2019-05-10,38.46428571
495,2019-05-11,39.60714286
496,2019-05-12,36.10344828
497,2019-05-13,38.39285714
498,2019-05-14,38.11111111
499,2019-05-15,41.18518519
500,2019-05-16,42.51851852
501,2019-05-17,35.78571429
502,2019-05-18,20.26923077
503,2019-05-19,15.08
504,2019-05-20,28.76
505,2019-05-21,36.96428571
506,2019-05-22,43.86206897
507,2019-05-23,51.46428571
508,2019-05-24,61.17241379
509,2019-05-25,48.62068966
510,2019-05-26,33.75
511,2019-05-27,19.18181818
512,2019-05-28,18.96
513,2019-05-29,33.96428571
514,2019-05-30,33.75862069
515,2019-05-31,20.33333333
516,2019-06-01,26.32142857
517,2019-06-02,28.5
518,2019-06-03,34.88888889
519,2019-06-04,35.77777778
520,2019-06-05,33
521,2019-06-06,39.88461538
522,2019-06-07,15.63157895
523,2019-06-08,21.83333333
524,2019-06-09,22.26923077
525,2019-06-10,14.94736842
526,2019-06-11,15.1
527,2019-06-12,22.16666667
528,2019-06-13,23.04
529,2019-06-14,25.34615385
530,2019-06-15,24.2
531,2019-06-16,20.52380952
532,2019-06-17,21.18518519
533,2019-06-18,24.62962963
534,2019-06-19,27.22222222
535,2019-06-20,26.61538462
536,2019-06-21,25.23076923
537,2019-06-22,18.44
538,2019-06-23,16.9047619
539,2019-06-24,18.26086957
540,2019-06-25,23.22222222
541,2019-06-26,24.29166667
542,2019-06-27,19.34782609
543,2019-06-28,23.44
544,2019-06-29,20.08333333
545,2019-06-30,22.18518519
546,2019-07-01,26.8
547,2019-07-02,23.75
548,2019-07-03,25.48148148
549,2019-07-04,27.11111111
550,2019-07-05,29.59259259
551,2019-07-06,28.25
552,2019-07-07,19.69230769
553,2019-07-08,15.4
554,2019-07-09,14.65217391
555,2019-07-10,12.45
556,2019-07-11,10.23529412
557,2019-07-12,14.92
558,2019-07-13,23.69230769
559,2019-07-14,27.39285714
560,2019-07-15,26.96
561,2019-07-16,22.52
562,2019-07-17,26.03571429
563,2019-07-18,27.88888889
564,2019-07-19,20.12
565,2019-07-20,11.94444444
566,2019-07-21,17.86363636
567,2019-07-22,27.53571429
568,2019-07-23,20.84
