일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),일 미세먼지 농도(㎍/㎥),불쾌지수,열지수,체감온도
2019-04-19,12.204743083003953,8.222222222222221,17.15873015873018,0.0108055009823182,1.9781746031746028,71.74631578947371,32.32142857142857,54.59500771782817,49.09911207276888,13.421246578487821
2019-04-20,13.799407114624506,6.879009900990101,20.554059405940595,0.0688976377952756,1.8138613861386148,67.3326315789474,33.241379310344826,57.047542360099854,52.25447242379863,15.208182417697413
2019-04-21,15.269094488188982,10.402178217821792,21.150297029702955,0.0481335952848723,1.4821782178217826,71.67578947368423,31.17241379310345,59.253130220389565,55.166494707666814,16.9484831377836
2019-04-22,16.659405940594056,9.291848906560633,24.562027833001984,0.0,1.7292246520874743,67.40315789473686,48.72413793103448,61.27214326649296,57.917303246586755,18.272930298364212
2019-04-23,16.539053254437864,11.553557312252964,21.596837944664014,6.2703339882121805,1.9140316205533603,75.6978947368421,40.035714285714285,61.266352160510735,57.68290345431329,18.060003082865972
2019-04-24,16.718343195266275,13.387351778656113,21.74051383399212,5.644094488188976,1.5727272727272714,87.53368421052636,26.296296296296298,61.812381066459054,58.043460358206175,18.413026890211473
2019-04-25,12.70532544378698,9.585573122529643,16.55652173913044,5.008464566929134,2.0691089108910896,84.08631578947372,39.37037037037037,55.14357612556836,50.096064947119274,13.902759519789779
2019-04-26,8.725494071146244,6.600198019801976,11.168514851485138,5.171062992125983,2.33293650793651,85.62947368421055,14.142857142857142,48.51951416376118,42.21672411350114,9.484323294314184
2019-04-27,10.724308300395242,4.375049504950497,17.026534653465323,0.0393700787401574,1.7908183632734544,65.71368421052631,15.25,52.566497590597024,46.16501586636152,11.971853206823218
2019-04-28,11.42741617357002,7.425098814229244,16.34683794466404,0.2122047244094488,1.5421782178217829,68.18421052631582,18.423076923076923,53.519641561818744,47.55833060261601,12.892273634844667
2019-04-29,11.304554455445537,7.634126984126988,14.8029761904762,15.830058939096268,1.537176938369783,85.58210526315794,17.96,52.7963769929338,47.32324141125585,12.767539797800614
2019-04-30,13.891518737672593,8.89150197628458,19.97371541501976,0.143614931237721,1.583003952569169,80.62105263157898,22.392857142857142,57.11081339769544,52.44309899532858,15.444530136818642
2019-05-01,14.326129666011786,9.01417322834646,20.84980314960631,0.0304518664047151,2.1564102564102567,69.55,48.92592592592592,57.82269998035363,53.29842523870334,15.589622344607264
2019-05-02,14.955118110236205,7.560355029585792,22.931755424063137,0.0,2.2548323471400424,52.85789473684211,56.62068965517241,58.68087770451718,54.535977068794,16.21847214796231
2019-05-03,15.742716535433065,7.033858267716535,24.92716535433069,0.0,1.75275590551181,51.69684210526319,44.82758620689656,59.71605440994612,56.094876255946936,17.294335002999794
2019-05-04,16.77322834645669,8.347337278106504,25.433530571992087,0.0,1.45759368836292,55.84210526315793,55.07142857142857,61.17375249896394,58.13723791545794,18.53188117941693
2019-05-05,17.47199211045365,9.875098814229244,25.991304347826095,0.0,1.7531620553359677,49.56736842105265,48.92857142857143,61.93798255814389,59.51784104185612,19.118971400995065
2019-05-06,12.847937131630644,7.2728346456692945,19.04035433070866,0.0689587426326129,3.012795275590557,50.77684210526319,35.535714285714285,55.90427963916865,50.36278063641816,13.618063406353013
2019-05-07,12.86856581532417,4.518934911242599,20.729388560157783,0.0009823182711198,2.167652859960554,48.08829787234044,35.55555555555556,55.97330323322744,50.40236181434186,14.024313617714485
2019-05-08,14.522090729783036,6.361067193675887,21.663636363636357,0.0,2.20118811881188,42.99578947368423,37.60714285714285,58.095944278168794,53.67394766602304,15.778372899330115
2019-05-09,15.651388888888906,9.641782178217824,22.770693069306915,0.0,2.084920634920634,41.815957446808525,37.25,59.47727342154258,55.909403500000025,17.038899341216545
2019-05-10,16.284523809523805,7.627037773359842,25.235586481113305,0.0,1.5782868525896412,47.45578947368424,38.46428571428572,60.35495623345864,57.165661363909756,17.955490902467098
2019-05-11,17.235629921259832,9.30276134122287,25.818737672583843,0.0433070866141732,1.4444664031620542,51.38631578947372,39.60714285714285,61.68080474577289,59.05069881251553,19.020967877550973
2019-05-12,17.475542406311636,10.263636363636362,25.17529644268777,0.0805500982318271,1.6567460317460307,55.17368421052633,36.10344827586207,62.110834082528804,59.52750559607599,19.166489830580584
2019-05-13,17.025544554455447,10.884920634920638,23.36765873015874,0.0905697445972495,1.714342629482072,63.492553191489385,38.392857142857146,61.7131093857805,58.640419717821786,18.665923268507235
2019-05-14,18.579051383399225,12.633663366336645,25.590891089108908,0.1751968503937007,1.5352475247524755,67.32315789473687,38.11111111111112,64.10474409881425,61.71816362334099,20.379241614377296
2019-05-15,19.074803149606293,12.80295857988166,26.38658777120317,0.0078585461689587,1.4654832347140043,64.95894736842106,41.18518518518518,64.72834450269373,62.69864094148361,20.92809807274746
2019-05-16,20.32200392927305,13.573425196850382,27.83996062992123,0.0,1.5952755905511804,61.73684210526319,42.51851851851852,66.35315660531481,65.16658409575011,22.1807953316411
2019-05-17,20.088757396449704,13.862055335968387,26.24703557312253,4.943614931237722,1.784387351778656,63.65789473684213,35.785714285714285,66.12901378075367,64.70565885549672,21.86981660897065
2019-05-18,18.595039682539685,15.643253968253966,21.806150793650808,28.159486166007905,3.082539682539682,80.04787234042553,20.26923076923077,64.65122068863982,61.75580107142858,19.890882219243217
2019-05-19,18.847430830039524,16.096237623762363,21.947920792079184,8.824015748031496,2.381584158415844,86.31578947368425,15.08,65.3288867068858,62.258481464530895,20.356253978184284
2019-05-20,15.886363636363637,10.51683168316832,19.94396039603961,2.840471512770137,3.2558415841584183,64.29894736842107,28.76,60.08582201913876,56.385220505263156,16.868113997150925
2019-05-21,15.86003937007876,8.259763313609463,22.93885601577908,0.0,2.764426877470355,51.44631578947369,36.96428571428572,59.86762061114797,56.327057721177,16.997743055268728
2019-05-22,17.99861932938854,9.624901185770748,25.816205533596847,0.0,2.424158415841586,50.80736842105265,43.86206896551724,62.666606557645565,60.5611457353472,19.428227344806103
2019-05-23,19.649015748031516,11.821499013806708,27.6700197238659,0.0,1.9571146245059297,54.99894736842107,51.46428571428572,65.04953759359722,63.83090068636557,21.34675292703981
2019-05-24,21.723366336633667,13.22198019801981,30.21683168316831,0.0,1.9702970297029712,56.789361702127664,61.172413793103445,67.98824348123026,67.93895634653465,23.548428113047372
2019-05-25,21.677667984189696,15.447524752475235,28.686732673267304,0.0,1.9097029702970296,55.19368421052633,48.62068965517241,67.81127080037442,67.84772364027455,23.5152494292962
2019-05-26,21.939447731755447,15.28675889328064,28.799802371541485,0.3251968503937008,2.377623762376236,54.76210526315792,33.75,68.13433003649956,68.36584469834948,23.687346327110944
2019-05-27,17.740556660039754,14.532405566600398,21.09821073558648,30.555226824457595,3.4894422310756976,86.2231578947369,19.181818181818183,63.48344281427225,60.06682707108924,18.850131950345954
2019-05-28,16.758366533864525,11.151195219123522,22.887649402390423,0.0019762845849802,2.5998003992015937,56.33157894736845,18.96,61.16471105252671,58.10804157915702,18.029524032282367
2019-05-29,18.475049504950515,10.377029702970296,26.129306930693087,0.0009823182711198,2.1598802395209584,52.50105263157894,33.964285714285715,63.35973908235542,61.50527351453887,20.02726612837842
2019-05-30,19.23577075098816,11.666798418972324,26.17549407114625,0.0514734774066797,2.1402777777777797,49.89473684210528,33.758620689655174,64.24768776367799,63.01027661327235,20.847401138527005
